Cas [sec]	M sklopke [Ncm]	M zavore [Ncm]	n motorja [1/min]	n sklopke [1/min]
13.781	1479.766	759.636	1492.064	1492.223
13.881	1368.771	769.053	1492.414	1493.108
13.981	1251.634	774.447	1492.513	1493.301
14.081	1150.742	773.961	1491.376	1492.713
14.181	1098.791	768.277	1492.686	1490.790
14.281	1034.006	757.470	1494.945	1491.331
14.381	973.221	744.250	1493.879	1492.838
14.481	958.043	736.716	1491.026	1492.728
14.581	923.067	737.743	1498.119	1494.250
14.681	870.343	741.234	1509.324	1495.344
14.781	866.526	742.206	1507.889	1493.295
14.881	863.874	739.670	1501.772	1493.631
14.981	837.179	738.324	1496.427	1496.785
15.081	842.201	740.921	1492.366	1497.253
15.181	845.474	744.458	1492.643	1496.538
15.281	824.255	747.090	1492.562	1496.819
15.381	831.627	747.471	1490.802	1495.278
15.481	833.202	743.303	1489.645	1494.729
15.581	804.442	736.800	1489.992	1496.965
15.681	809.198	733.315	1493.063	1495.503
15.781	821.171	729.843	1495.775	1491.949
15.881	800.962	726.645	1494.124	1493.160
15.981	803.511	728.760	1492.734	1496.755
16.081	818.065	733.212	1494.696	1507.519
16.181	801.582	737.660	1494.927	1521.618
16.281	800.203	740.534	1493.678	1516.261
16.381	814.638	741.920	1493.801	1500.010
16.481	796.473	743.235	1493.396	1491.611
16.581	788.696	741.806	1493.246	1489.199
